AMAZONAS	JUNTOS POR EL PERÚ|59302
AMÉRICA	VOTOS EN BLANCO|48236
APURÍMAC	JUNTOS POR EL PERÚ|82005
AREQUIPA	PARTIDO DEL BUEN GOBIERNO|164086
ASIA	RENOVACIÓN POPULAR|3016
AYACUCHO	JUNTOS POR EL PERÚ|88549
CAJAMARCA	JUNTOS POR EL PERÚ|266459
CALLAO	FUERZA POPULAR|119395
CUSCO	JUNTOS POR EL PERÚ|157982
EUROPA	RENOVACIÓN POPULAR|27048
HUANCAVELICA	JUNTOS POR EL PERÚ|75062
HUÁNUCO	JUNTOS POR EL PERÚ|102366
ICA	FUERZA POPULAR|98055
JUNÍN	FUERZA POPULAR|108631
LA LIBERTAD	FUERZA POPULAR|188971
LAMBAYEQUE	FUERZA POPULAR|176103
LIMA	RENOVACIÓN POPULAR|1209096
LORETO	FUERZA POPULAR|96815
MADRE DE DIOS	JUNTOS POR EL PERÚ|18404
MOQUEGUA	JUNTOS POR EL PERÚ|14655
OCEANÍA	RENOVACIÓN POPULAR|983
PASCO	VOTOS EN BLANCO|22142
PIURA	FUERZA POPULAR|242804
PUNO	JUNTOS POR EL PERÚ|162460
SAN MARTÍN	VOTOS EN BLANCO|103030
TACNA	PARTIDO CÍVICO OBRAS|32292
TUMBES	FUERZA POPULAR|37850
UCAYALI	FUERZA POPULAR|66009
ÁFRICA	RENOVACIÓN POPULAR|26
ÁNCASH	VOTOS EN BLANCO|104276
