AMAZONAS|VOTOS EN BLANCO	36318
AMAZONAS|VOTOS NULOS	15232
AMÉRICA|VOTOS EN BLANCO	48236
AMÉRICA|VOTOS NULOS	19326
APURÍMAC|VOTOS EN BLANCO	39618
APURÍMAC|VOTOS NULOS	14476
AREQUIPA|VOTOS EN BLANCO	75007
AREQUIPA|VOTOS NULOS	38934
ASIA|VOTOS EN BLANCO	1433
ASIA|VOTOS NULOS	489
AYACUCHO|VOTOS EN BLANCO	52594
AYACUCHO|VOTOS NULOS	18832
CAJAMARCA|VOTOS EN BLANCO	123518
CAJAMARCA|VOTOS NULOS	53235
CALLAO|VOTOS EN BLANCO	62437
CALLAO|VOTOS NULOS	30943
CUSCO|VOTOS EN BLANCO	98893
CUSCO|VOTOS NULOS	48800
EUROPA|VOTOS EN BLANCO	24908
EUROPA|VOTOS NULOS	8453
HUANCAVELICA|VOTOS EN BLANCO	32865
HUANCAVELICA|VOTOS NULOS	11976
HUÁNUCO|VOTOS EN BLANCO	73344
HUÁNUCO|VOTOS NULOS	24590
ICA|VOTOS EN BLANCO	71503
ICA|VOTOS NULOS	29166
JUNÍN|VOTOS EN BLANCO	107546
JUNÍN|VOTOS NULOS	42219
LA LIBERTAD|VOTOS EN BLANCO	159303
LA LIBERTAD|VOTOS NULOS	73896
LAMBAYEQUE|VOTOS EN BLANCO	100404
LAMBAYEQUE|VOTOS NULOS	50246
LIMA|VOTOS EN BLANCO	554393
LIMA|VOTOS NULOS	264608
LORETO|VOTOS EN BLANCO	85358
LORETO|VOTOS NULOS	27081
MADRE DE DIOS|VOTOS EN BLANCO	17892
MADRE DE DIOS|VOTOS NULOS	5021
MOQUEGUA|VOTOS EN BLANCO	11968
MOQUEGUA|VOTOS NULOS	5263
OCEANÍA|VOTOS EN BLANCO	208
OCEANÍA|VOTOS NULOS	54
PASCO|VOTOS EN BLANCO	22142
PASCO|VOTOS NULOS	8047
PIURA|VOTOS EN BLANCO	179986
PIURA|VOTOS NULOS	82260
PUNO|VOTOS EN BLANCO	77890
PUNO|VOTOS NULOS	40798
SAN MARTÍN|VOTOS EN BLANCO	103030
SAN MARTÍN|VOTOS NULOS	38095
TACNA|VOTOS EN BLANCO	18861
TACNA|VOTOS NULOS	9209
TUMBES|VOTOS EN BLANCO	21599
TUMBES|VOTOS NULOS	9274
UCAYALI|VOTOS EN BLANCO	57449
UCAYALI|VOTOS NULOS	17063
ÁFRICA|VOTOS EN BLANCO	7
ÁFRICA|VOTOS NULOS	1
ÁNCASH|VOTOS EN BLANCO	104276
ÁNCASH|VOTOS NULOS	49719
