AMAZONAS	215129|345245|0.6231198134657997
AMÉRICA	229925|757697|0.303452435472227
APURÍMAC	254280|359737|0.706849726327845
AREQUIPA	994148|1226525|0.8105403477303764
ASIA	9920|41413|0.23953830922657138
AYACUCHO	354026|517160|0.6845579704540181
CAJAMARCA	816847|1188442|0.6873259275589385
CALLAO	670793|857770|0.7820196556186391
CUSCO	840683|1132075|0.7426036260848442
EUROPA	168529|403388|0.41778387061588346
HUANCAVELICA	217828|339152|0.6422724913902911
HUÁNUCO	440857|656517|0.6715088870509065
ICA	583218|713997|0.8168353648544742
JUNÍN	785610|1062500|0.7393976470588235
LA LIBERTAD	1166398|1552391|0.7513558117768011
LAMBAYEQUE	817863|1051350|0.7779169639035526
LIMA	6893128|8631650|0.7985875238222124
LORETO	454078|775923|0.5852101303866492
MADRE DE DIOS	101698|143733|0.7075480230705544
MOQUEGUA	131099|164341|0.7977254610839657
OCEANÍA	2632|7918|0.33240717352866883
PASCO	146044|223695|0.6528710968059188
PIURA	1129045|1508420|0.7484951140928919
PUNO	769606|963489|0.7987698873573025
SAN MARTÍN	525345|712121|0.7377187303843027
TACNA	248758|302322|0.8228246703845569
TUMBES	141754|181317|0.7818020373158612
UCAYALI	297701|445260|0.6686003683241253
ÁFRICA	71|397|0.17884130982367757
ÁNCASH	696803|970188|0.7182144079291849
