AMAZONAS|BAGUA|AHORA NACIÓN - AN	1282
AMAZONAS|BAGUA|ALIANZA ELECTORAL VENCEREMOS	230
AMAZONAS|BAGUA|ALIANZA PARA EL PROGRESO	770
AMAZONAS|BAGUA|AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL	24
AMAZONAS|BAGUA|FE EN EL PERÚ	36
AMAZONAS|BAGUA|FUERZA POPULAR	4844
AMAZONAS|BAGUA|FUERZA Y LIBERTAD	43
AMAZONAS|BAGUA|JUNTOS POR EL PERÚ	14094
AMAZONAS|BAGUA|LIBERTAD POPULAR	28
AMAZONAS|BAGUA|PARTIDO APRISTA PERUANO	256
AMAZONAS|BAGUA|PARTIDO CÍVICO OBRAS	2821
AMAZONAS|BAGUA|PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ	22
AMAZONAS|BAGUA|PARTIDO DEL BUEN GOBIERNO	760
AMAZONAS|BAGUA|PARTIDO DEMOCRATICO FEDERAL	68
AMAZONAS|BAGUA|PARTIDO DEMOCRÁTICO SOMOS PERÚ	462
AMAZONAS|BAGUA|PARTIDO DEMÓCRATA UNIDO PERÚ	213
AMAZONAS|BAGUA|PARTIDO DEMÓCRATA VERDE	78
AMAZONAS|BAGUA|PARTIDO FRENTE DE LA ESPERANZA 2021	243
AMAZONAS|BAGUA|PARTIDO MORADO	73
AMAZONAS|BAGUA|PARTIDO PATRIÓTICO DEL PERÚ	438
AMAZONAS|BAGUA|PARTIDO PAÍS PARA TODOS	840
AMAZONAS|BAGUA|PARTIDO POLÍTICO COOPERACIÓN POPULAR	466
AMAZONAS|BAGUA|PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA	61
AMAZONAS|BAGUA|PARTIDO POLÍTICO NACIONAL PERÚ LIBRE	199
AMAZONAS|BAGUA|PARTIDO POLÍTICO PERÚ ACCIÓN	48
AMAZONAS|BAGUA|PARTIDO POLÍTICO PERÚ PRIMERO	203
AMAZONAS|BAGUA|PARTIDO POLÍTICO PRIN	16
AMAZONAS|BAGUA|PARTIDO SICREO	369
AMAZONAS|BAGUA|PERÚ MODERNO	10
AMAZONAS|BAGUA|PODEMOS PERÚ	1631
AMAZONAS|BAGUA|PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO	419
AMAZONAS|BAGUA|PROGRESEMOS	60
AMAZONAS|BAGUA|RENOVACIÓN POPULAR	1025
AMAZONAS|BAGUA|SALVEMOS AL PERÚ	36
AMAZONAS|BAGUA|UN CAMINO DIFERENTE	123
AMAZONAS|BAGUA|UNIDAD NACIONAL	85
AMAZONAS|BAGUA|VOTOS EN BLANCO	6774
AMAZONAS|BAGUA|VOTOS NULOS	2756
AMAZONAS|BONGARÁ|AHORA NACIÓN - AN	841
AMAZONAS|BONGARÁ|ALIANZA ELECTORAL VENCEREMOS	142
AMAZONAS|BONGARÁ|ALIANZA PARA EL PROGRESO	233
AMAZONAS|BONGARÁ|AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL	24
AMAZONAS|BONGARÁ|FE EN EL PERÚ	15
AMAZONAS|BONGARÁ|FUERZA POPULAR	2739
AMAZONAS|BONGARÁ|FUERZA Y LIBERTAD	21
AMAZONAS|BONGARÁ|JUNTOS POR EL PERÚ	3180
AMAZONAS|BONGARÁ|LIBERTAD POPULAR	13
AMAZONAS|BONGARÁ|PARTIDO APRISTA PERUANO	52
AMAZONAS|BONGARÁ|PARTIDO CÍVICO OBRAS	1445
AMAZONAS|BONGARÁ|PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ	4
AMAZONAS|BONGARÁ|PARTIDO DEL BUEN GOBIERNO	561
AMAZONAS|BONGARÁ|PARTIDO DEMOCRATICO FEDERAL	20
AMAZONAS|BONGARÁ|PARTIDO DEMOCRÁTICO SOMOS PERÚ	142
AMAZONAS|BONGARÁ|PARTIDO DEMÓCRATA UNIDO PERÚ	63
AMAZONAS|BONGARÁ|PARTIDO DEMÓCRATA VERDE	57
AMAZONAS|BONGARÁ|PARTIDO FRENTE DE LA ESPERANZA 2021	107
AMAZONAS|BONGARÁ|PARTIDO MORADO	37
AMAZONAS|BONGARÁ|PARTIDO PATRIÓTICO DEL PERÚ	127
AMAZONAS|BONGARÁ|PARTIDO PAÍS PARA TODOS	282
AMAZONAS|BONGARÁ|PARTIDO POLÍTICO COOPERACIÓN POPULAR	49
AMAZONAS|BONGARÁ|PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA	25
AMAZONAS|BONGARÁ|PARTIDO POLÍTICO NACIONAL PERÚ LIBRE	120
AMAZONAS|BONGARÁ|PARTIDO POLÍTICO PERÚ ACCIÓN	28
AMAZONAS|BONGARÁ|PARTIDO POLÍTICO PERÚ PRIMERO	49
AMAZONAS|BONGARÁ|PARTIDO POLÍTICO PRIN	10
AMAZONAS|BONGARÁ|PARTIDO SICREO	188
AMAZONAS|BONGARÁ|PERÚ MODERNO	2
AMAZONAS|BONGARÁ|PODEMOS PERÚ	202
AMAZONAS|BONGARÁ|PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO	177
AMAZONAS|BONGARÁ|PROGRESEMOS	18
AMAZONAS|BONGARÁ|RENOVACIÓN POPULAR	380
AMAZONAS|BONGARÁ|SALVEMOS AL PERÚ	15
AMAZONAS|BONGARÁ|UN CAMINO DIFERENTE	53
AMAZONAS|BONGARÁ|UNIDAD NACIONAL	20
AMAZONAS|BONGARÁ|VOTOS EN BLANCO	2548
AMAZONAS|BONGARÁ|VOTOS NULOS	1225
AMAZONAS|CHACHAPOYAS|AHORA NACIÓN - AN	2735
AMAZONAS|CHACHAPOYAS|ALIANZA ELECTORAL VENCEREMOS	363
AMAZONAS|CHACHAPOYAS|ALIANZA PARA EL PROGRESO	473
AMAZONAS|CHACHAPOYAS|AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL	29
AMAZONAS|CHACHAPOYAS|FE EN EL PERÚ	27
AMAZONAS|CHACHAPOYAS|FUERZA POPULAR	4684
AMAZONAS|CHACHAPOYAS|FUERZA Y LIBERTAD	44
AMAZONAS|CHACHAPOYAS|JUNTOS POR EL PERÚ	4381
AMAZONAS|CHACHAPOYAS|LIBERTAD POPULAR	65
AMAZONAS|CHACHAPOYAS|PARTIDO APRISTA PERUANO	328
AMAZONAS|CHACHAPOYAS|PARTIDO CÍVICO OBRAS	3002
AMAZONAS|CHACHAPOYAS|PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ	15
AMAZONAS|CHACHAPOYAS|PARTIDO DEL BUEN GOBIERNO	2253
AMAZONAS|CHACHAPOYAS|PARTIDO DEMOCRATICO FEDERAL	45
AMAZONAS|CHACHAPOYAS|PARTIDO DEMOCRÁTICO SOMOS PERÚ	846
AMAZONAS|CHACHAPOYAS|PARTIDO DEMÓCRATA UNIDO PERÚ	140
AMAZONAS|CHACHAPOYAS|PARTIDO DEMÓCRATA VERDE	93
AMAZONAS|CHACHAPOYAS|PARTIDO FRENTE DE LA ESPERANZA 2021	287
AMAZONAS|CHACHAPOYAS|PARTIDO MORADO	141
AMAZONAS|CHACHAPOYAS|PARTIDO PATRIÓTICO DEL PERÚ	239
AMAZONAS|CHACHAPOYAS|PARTIDO PAÍS PARA TODOS	859
AMAZONAS|CHACHAPOYAS|PARTIDO POLÍTICO COOPERACIÓN POPULAR	184
AMAZONAS|CHACHAPOYAS|PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA	56
AMAZONAS|CHACHAPOYAS|PARTIDO POLÍTICO NACIONAL PERÚ LIBRE	191
AMAZONAS|CHACHAPOYAS|PARTIDO POLÍTICO PERÚ ACCIÓN	50
AMAZONAS|CHACHAPOYAS|PARTIDO POLÍTICO PERÚ PRIMERO	191
AMAZONAS|CHACHAPOYAS|PARTIDO POLÍTICO PRIN	28
AMAZONAS|CHACHAPOYAS|PARTIDO SICREO	669
AMAZONAS|CHACHAPOYAS|PERÚ MODERNO	12
