AMAZONAS|AHORA NACIÓN - AN	9775
AMAZONAS|ALIANZA ELECTORAL VENCEREMOS	1929
AMAZONAS|ALIANZA PARA EL PROGRESO	3352
AMAZONAS|AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL	321
AMAZONAS|FE EN EL PERÚ	231
AMAZONAS|FUERZA POPULAR	28403
AMAZONAS|FUERZA Y LIBERTAD	200
AMAZONAS|JUNTOS POR EL PERÚ	59302
AMAZONAS|LIBERTAD POPULAR	235
AMAZONAS|PARTIDO APRISTA PERUANO	1252
AMAZONAS|PARTIDO CÍVICO OBRAS	17400
AMAZONAS|PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ	97
AMAZONAS|PARTIDO DEL BUEN GOBIERNO	5971
AMAZONAS|PARTIDO DEMOCRATICO FEDERAL	281
AMAZONAS|PARTIDO DEMOCRÁTICO SOMOS PERÚ	3520
AMAZONAS|PARTIDO DEMÓCRATA UNIDO PERÚ	886
AMAZONAS|PARTIDO DEMÓCRATA VERDE	664
AMAZONAS|PARTIDO FRENTE DE LA ESPERANZA 2021	1361
AMAZONAS|PARTIDO MORADO	529
AMAZONAS|PARTIDO PATRIÓTICO DEL PERÚ	1793
AMAZONAS|PARTIDO PAÍS PARA TODOS	4068
AMAZONAS|PARTIDO POLÍTICO COOPERACIÓN POPULAR	1359
AMAZONAS|PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA	377
AMAZONAS|PARTIDO POLÍTICO NACIONAL PERÚ LIBRE	1457
AMAZONAS|PARTIDO POLÍTICO PERÚ ACCIÓN	326
AMAZONAS|PARTIDO POLÍTICO PERÚ PRIMERO	1173
AMAZONAS|PARTIDO POLÍTICO PRIN	159
AMAZONAS|PARTIDO SICREO	2281
AMAZONAS|PERÚ MODERNO	63
AMAZONAS|PODEMOS PERÚ	4380
AMAZONAS|PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO	2657
AMAZONAS|PROGRESEMOS	348
AMAZONAS|RENOVACIÓN POPULAR	6034
AMAZONAS|SALVEMOS AL PERÚ	256
AMAZONAS|UN CAMINO DIFERENTE	625
AMAZONAS|UNIDAD NACIONAL	514
AMAZONAS|VOTOS EN BLANCO	36318
AMAZONAS|VOTOS NULOS	15232
AMÉRICA|AHORA NACIÓN - AN	9096
AMÉRICA|ALIANZA ELECTORAL VENCEREMOS	1016
AMÉRICA|ALIANZA PARA EL PROGRESO	688
AMÉRICA|AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL	237
AMÉRICA|FE EN EL PERÚ	192
AMÉRICA|FUERZA POPULAR	30571
AMÉRICA|FUERZA Y LIBERTAD	276
AMÉRICA|JUNTOS POR EL PERÚ	4838
AMÉRICA|LIBERTAD POPULAR	496
AMÉRICA|PARTIDO APRISTA PERUANO	1918
AMÉRICA|PARTIDO CÍVICO OBRAS	15298
AMÉRICA|PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ	158
AMÉRICA|PARTIDO DEL BUEN GOBIERNO	13619
AMÉRICA|PARTIDO DEMOCRATICO FEDERAL	117
AMÉRICA|PARTIDO DEMOCRÁTICO SOMOS PERÚ	948
AMÉRICA|PARTIDO DEMÓCRATA UNIDO PERÚ	867
AMÉRICA|PARTIDO DEMÓCRATA VERDE	656
AMÉRICA|PARTIDO FRENTE DE LA ESPERANZA 2021	2000
AMÉRICA|PARTIDO MORADO	757
