AHORA NACIÓN - AN	1218837
ALIANZA ELECTORAL VENCEREMOS	139822
ALIANZA PARA EL PROGRESO	191908
AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL	32459
FE EN EL PERÚ	23261
FUERZA POPULAR	2868246
FUERZA Y LIBERTAD	27162
JUNTOS POR EL PERÚ	2004598
LIBERTAD POPULAR	40762
PARTIDO APRISTA PERUANO	160911
PARTIDO CÍVICO OBRAS	1694542
PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ	11360
PARTIDO DEL BUEN GOBIERNO	1834112
PARTIDO DEMOCRATICO FEDERAL	21663
PARTIDO DEMOCRÁTICO SOMOS PERÚ	152723
PARTIDO DEMÓCRATA UNIDO PERÚ	118614
PARTIDO DEMÓCRATA VERDE	63728
PARTIDO FRENTE DE LA ESPERANZA 2021	307237
PARTIDO MORADO	82039
PARTIDO PATRIÓTICO DEL PERÚ	143739
PARTIDO PAÍS PARA TODOS	1323909
PARTIDO POLÍTICO COOPERACIÓN POPULAR	214455
PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA	63609
PARTIDO POLÍTICO NACIONAL PERÚ LIBRE	99770
PARTIDO POLÍTICO PERÚ ACCIÓN	31600
PARTIDO POLÍTICO PERÚ PRIMERO	143441
PARTIDO POLÍTICO PRIN	14505
PARTIDO SICREO	559753
PERÚ MODERNO	9779
PODEMOS PERÚ	265800
PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO	570128
PROGRESEMOS	65818
RENOVACIÓN POPULAR	1990002
SALVEMOS AL PERÚ	17577
UN CAMINO DIFERENTE	127849
UNIDAD NACIONAL	67806
VOTOS EN BLANCO	2362986
VOTOS NULOS	1037306
