codigo_mesa,electores_habiles,votantes,ausentes
100001,253,238,15
100002,281,247,34
100003,344,253,91
100004,325,216,109
100005,253,197,56
100006,279,266,13
100007,321,209,112
100008,278,207,71
100009,250,193,57
100010,293,268,25
100011,277,264,13
100012,261,188,73
100013,295,272,23
100014,255,176,79
100015,318,222,96
100016,260,170,90
100017,330,218,112
100018,323,255,68
100019,255,236,19
100020,348,246,102
100021,279,233,46
100022,285,189,96
100023,270,204,66
100024,276,187,89
100025,339,327,12
100026,327,234,93
100027,318,306,12
100028,270,248,22
100029,284,252,32
100030,337,298,39
100031,279,233,46
100032,301,280,21
100033,277,180,97
100034,277,221,56
100035,300,296,4
100036,268,253,15
100037,281,210,71
100038,345,332,13
100039,324,301,23
100040,278,180,98
100041,261,258,3
100042,269,232,37
100043,337,259,78
100044,299,289,10
100045,317,304,13
100046,337,310,27
100047,337,236,101
100048,348,279,69
100049,264,224,40
100050,270,248,22
100051,342,331,11
100052,314,232,82
100053,330,299,31
100054,269,253,16
100055,319,217,102
100056,326,252,74
100057,252,216,36
100058,289,231,58
100059,280,185,95
100060,260,229,31
100061,258,214,44
100062,266,192,74
100063,320,256,64
100064,317,219,98
100065,277,252,25
100066,341,303,38
100067,335,263,72
100068,306,281,25
100069,265,213,52
100070,258,239,19
100071,325,234,91
100072,325,287,38
100073,259,198,61
100074,279,272,7
100075,292,277,15
100076,285,229,56
100077,277,219,58
100078,342,290,52
100079,281,257,24
100080,274,224,50
100081,334,223,111
100082,304,259,45
100083,343,245,98
100084,257,218,39
100085,263,242,21
100086,274,255,19
100087,267,211,56
100088,285,197,88
100089,259,190,69
100090,256,203,53
100091,261,178,83
100092,302,280,22
100093,277,214,63
100094,271,248,23
100095,299,228,71
100096,286,240,46
100097,269,247,22
100098,277,185,92
100099,345,247,98
100100,256,210,46
