codigo_mesa,candidato,votos
100001,Candidato_A,131
100001,Candidato_B,75
100001,Candidato_C,9
100001,BLANCO,15
100001,NULO,8
100002,Candidato_A,29
100002,Candidato_B,94
100002,Candidato_C,109
100002,BLANCO,2
100002,NULO,13
100003,Candidato_A,107
100003,Candidato_B,64
100003,Candidato_C,67
100003,BLANCO,12
100003,NULO,3
100004,Candidato_A,88
100004,Candidato_B,76
100004,Candidato_C,44
100004,BLANCO,2
100004,NULO,6
100005,Candidato_A,95
100005,Candidato_B,31
100005,Candidato_C,55
100005,BLANCO,6
100005,NULO,10
100006,Candidato_A,46
100006,Candidato_B,94
100006,Candidato_C,97
100006,BLANCO,20
100006,NULO,9
100007,Candidato_A,89
100007,Candidato_B,89
100007,Candidato_C,8
100007,BLANCO,14
100007,NULO,9
100008,Candidato_A,45
100008,Candidato_B,118
100008,Candidato_C,24
100008,BLANCO,16
100008,NULO,4
100009,Candidato_A,16
100009,Candidato_B,87
100009,Candidato_C,75
100009,BLANCO,11
100009,NULO,4
100010,Candidato_A,1
100010,Candidato_B,168
100010,Candidato_C,63
100010,BLANCO,20
100010,NULO,16
100011,Candidato_A,35
100011,Candidato_B,120
100011,Candidato_C,102
100011,BLANCO,3
100011,NULO,4
100012,Candidato_A,69
100012,Candidato_B,82
100012,Candidato_C,25
100012,BLANCO,8
100012,NULO,4
100013,Candidato_A,54
100013,Candidato_B,100
100013,Candidato_C,94
100013,BLANCO,8
100013,NULO,16
100014,Candidato_A,109
100014,Candidato_B,5
100014,Candidato_C,46
100014,BLANCO,10
100014,NULO,6
100015,Candidato_A,91
100015,Candidato_B,67
100015,Candidato_C,54
100015,BLANCO,8
100015,NULO,2
100016,Candidato_A,88
100016,Candidato_B,65
100016,Candidato_C,15
100016,BLANCO,1
100016,NULO,1
100017,Candidato_A,106
100017,Candidato_B,83
100017,Candidato_C,9
100017,BLANCO,11
100017,NULO,9
100018,Candidato_A,90
100018,Candidato_B,107
100018,Candidato_C,46
100018,BLANCO,1
100018,NULO,11
100019,Candidato_A,83
100019,Candidato_B,103
100019,Candidato_C,28
100019,BLANCO,13
100019,NULO,9
100020,Candidato_A,61
100020,Candidato_B,26
100020,Candidato_C,140
100020,BLANCO,5
100020,NULO,14
100021,Candidato_A,28
100021,Candidato_B,125
100021,Candidato_C,69
100021,BLANCO,7
100021,NULO,4
100022,Candidato_A,23
100022,Candidato_B,107
100022,Candidato_C,41
100022,BLANCO,15
100022,NULO,3
100023,Candidato_A,97
100023,Candidato_B,58
100023,Candidato_C,42
100023,BLANCO,7
100023,NULO,0
100024,Candidato_A,38
100024,Candidato_B,56
100024,Candidato_C,77
100024,BLANCO,12
100024,NULO,4
100025,Candidato_A,139
100025,Candidato_B,17
100025,Candidato_C,144
100025,BLANCO,17
100025,NULO,10
100026,Candidato_A,8
100026,Candidato_B,128
100026,Candidato_C,76
100026,BLANCO,18
100026,NULO,4
100027,Candidato_A,114
100027,Candidato_B,96
100027,Candidato_C,73
100027,BLANCO,10
100027,NULO,13
100028,Candidato_A,10
100028,Candidato_B,103
100028,Candidato_C,125
100028,BLANCO,6
100028,NULO,4
100029,Candidato_A,44
100029,Candidato_B,96
100029,Candidato_C,95
100029,BLANCO,6
100029,NULO,11
100030,Candidato_A,154
100030,Candidato_B,64
100030,Candidato_C,67
100030,BLANCO,10
100030,NULO,3
100031,Candidato_A,104
100031,Candidato_B,83
100031,Candidato_C,30
100031,BLANCO,10
100031,NULO,6
100032,Candidato_A,110
100032,Candidato_B,54
100032,Candidato_C,99
100032,BLANCO,12
100032,NULO,5
100033,Candidato_A,22
100033,Candidato_B,84
100033,Candidato_C,66
100033,BLANCO,4
100033,NULO,4
100034,Candidato_A,78
100034,Candidato_B,37
100034,Candidato_C,85
100034,BLANCO,14
100034,NULO,7
100035,Candidato_A,109
100035,Candidato_B,47
100035,Candidato_C,112
100035,BLANCO,23
100035,NULO,5
100036,Candidato_A,87
